study,attempt_id,concurrency,pair_index,arm,status,observed,offered,correct,accuracy,service_s,full_attempt_s,throughput_requests_s,output_tokens_s,server_hwm_bytes,load_averages,newly_evaluated_input_tokens,reused_input_tokens,generated_tokens,eligible,ineligibility,slo_qualified,sampled_server_plus_coordinator_peak_bytes,cpu_time_s,cache_preparation_s,compilation_s,evaluation_s,load_s,recovery_s,reporting_s,startup_s,verification_s,warmup_s,admission_to_dispatch_p50_s,admission_to_dispatch_p95_s,admission_to_dispatch_p99_s,client_chunk_gap_p50_s,client_chunk_gap_p95_s,client_chunk_gap_p99_s,client_end_to_end_p50_s,client_end_to_end_p95_s,client_end_to_end_p99_s,client_queue_p50_s,client_queue_p95_s,client_queue_p99_s,client_ttft_p50_s,client_ttft_p95_s,client_ttft_p99_s,dispatch_to_completion_p50_s,dispatch_to_completion_p95_s,dispatch_to_completion_p99_s
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,COMPLETED,128,128,128,1.0,1130.720181404,1150.723671686,0.11320218928175857,0.45369314923079807,31326830592,"[18.83, 17.26, 18.3, 15.67, 16.06, 17.1]",22278,0,513,True,[],0,31430094848,,0.657086829,0.0,0.0,2.655557614,0.760940894,0.0,0.0,15.248501992,0.0,0.002109896,0.008315732,0.019038552,1.353904052,20.068372146,25.66950515,591.750270289,1101.906941331,1130.052198259,557.227873792,1068.523282411,1113.707943525,577.760918061,1078.758092794,1123.204527617,34.473557008,48.623005468,54.662295553
14b,attempt-5c026fdd420f41658ecb853f15b5cbe5,1,0,candidate,COMPLETED,128,128,128,1.0,684.25946689,703.469432129,0.18706354269640962,0.7497156047129542,30074445824,"[13.07, 13.4, 11.09, 12.97, 12.9, 12.06]",9538,12740,513,True,[],3,30137176064,,0.557343461,0.0,0.0,3.26100985,0.715521034,0.0,0.0,14.587901089,0.0,0.003175795,0.005243319,0.008866822,0.640459041,0.719779806,1.057628915,339.291891111,647.719155464,675.52089828,331.382583704,643.142914534,670.154491534,337.305097523,645.796149448,673.59489253,5.158466856,8.184890124,8.533912048
14b,attempt-34d417c369374b8f9b3b312c74b38a83,4,0,candidate,COMPLETED,128,128,128,1.0,314.788345828,333.72429583,0.40662242327719167,1.6296664307906197,31324114944,"[13.3, 14.21, 14.69, 26.81, 20.46, 17.01]",2063,20215,513,True,[],0,31425040384,,0.6517588,0.0,0.0,2.666155144,0.835640895,0.0,0.0,14.277938194,0.0,0.003224069,0.011325634,0.019227947,1.444472311,3.049449309,3.70415893,165.574057528,298.540040993,314.771584411,159.337115547,289.647186607,305.494777825,163.563548447,293.359324993,308.146515663,8.43413512,13.64084782,33.191600552
14b,attempt-236e9d95e84d429099b3c0f21140f7f0,4,3,baseline,COMPLETED,128,128,128,1.0,1149.544577039,1168.637503013,0.11134844403311679,0.44626368585147586,31330271232,"[15.37, 15.85, 16.39, 16.19, 16.83, 17.07]",22278,0,513,True,[],0,31437918208,,0.588914748,0.0,0.0,2.545867219,0.756106217,0.0,0.0,14.353872603,0.0,0.001992678,0.00805115,0.054797887,1.600635112,20.966699155,23.694408093,606.048722123,1123.77948307,1148.567880223,580.122833159,1088.574942604,1132.437361507,604.504788169,1095.897632216,1136.869972406,34.921208911,47.806243079,52.013012759
14b,attempt-b5455be84a2b4eed9da360cbcbbd9827,4,3,candidate,COMPLETED,128,128,128,1.0,274.783911339,294.230521086,0.4658205765259918,1.8669215293580765,31328284672,"[16.0, 15.81, 16.62, 16.45, 16.06, 16.46]",2063,20215,513,True,[],0,31432364032,,0.611207848,0.0,0.0,2.546583182,0.742958666,0.0,0.0,14.724639972,0.0,0.002933599,0.015623069,0.027492463,1.38318164,2.419758508,3.240498816,158.446305638,262.140449905,274.113708113,153.39276215,255.646816091,268.629940559,157.073302207,259.375543537,269.832311007,7.543143716,10.414170514,33.902022769
14b,attempt-51f395ff6dca4ef5a6eaf7c28f294cc8,1,3,candidate,COMPLETED,128,128,128,1.0,703.639039435,722.756782898,0.18191145292731337,0.7290669949352481,30063280128,"[13.01, 13.96, 13.93, 15.64, 15.21, 14.65]",9538,12740,513,True,[],3,30138974208,,0.626322822,0.0,0.0,2.447798674,0.766956087,0.0,0.0,14.905156387,0.0,0.001427546,0.005334555,0.011258246,0.658918737,0.722822227,1.011700707,347.989012951,666.932981209,695.742331685,339.684920245,662.250477111,690.303955492,345.922380969,664.868690623,693.799060281,5.321722142,8.448484232,8.734485388
legacy-comparison,attempt-ff893fe67723474c9f6da20edbeec395,1,1,baseline,COMPLETED,128,128,99,0.7734375,164.353516594,166.361103969,0.7788090127465691,2.98137825192046,1385558016,"[2.61, 2.16, 1.61, 4.69, 3.5, 2.24]",22290,0,490,False,"[""absolute_quality_below_0.95""]",,,,0.589374603,0.0,0.0,0.468835796,0.138898689,0.0,0.0,0.635581878,0.0,1.7322e-05,3.6057e-05,8.4467e-05,0.026027692,0.036852198,0.119642552,83.049469928,155.804513523,162.169408762,80.908639225,154.949003135,160.812564481,82.980822749,155.787726625,162.076893565,1.261979587,2.170463294,3.286399836
legacy-comparison,attempt-2b30a89a94b84ead9df92a9ac8003ab6,4,0,candidate,COMPLETED,128,128,99,0.7734375,26.569109353,28.897258995,4.817624794997019,18.442469918347964,1473257472,"[8.24, 4.49, 3.03, 6.33, 4.38, 3.04]",2077,20213,490,False,"[""absolute_quality_below_0.95""]",,,,0.633807911,0.0,0.0,0.476301766,0.133868348,0.0,0.0,0.690522199,0.0,2.8012e-05,7.1463e-05,9.68e-05,0.08766103,0.251752926,0.287801081,15.095117843,25.464299335,26.327715602,14.636567522,25.069612461,26.057058988,15.02383157,25.250565457,26.198278851,0.686641155,1.005376195,5.207128348
legacy-comparison,attempt-2b0790a3a70c4e55b26b20fcb6176933,4,1,candidate,COMPLETED,128,128,99,0.7734375,26.141394969,28.27796413,4.896448722487453,18.744217765772284,1471090688,"[6.33, 4.38, 3.04, 5.16, 4.28, 3.05]",2077,20213,490,False,"[""absolute_quality_below_0.95""]",,,,0.54820138,0.0,0.0,0.458249623,0.134359992,0.0,0.0,0.645040179,0.0,3.3352e-05,5.9861e-05,6.8357e-05,0.081873623,0.256707596,0.279168184,14.783301215,25.058582099,25.894689164,14.321931583,24.660668797,25.641638967,14.721405486,24.842324249,25.778543708,0.692836971,0.956029992,4.772367155
legacy-comparison,attempt-c82e85b5a55f4d2ea23a96d3b643ba55,1,0,baseline,COMPLETED,128,128,99,0.7734375,159.232747244,161.009815317,0.8038547485704021,3.0772564593710703,1383563264,"[1.29, 1.4, 1.22, 2.18, 1.77, 1.39]",22290,0,490,False,"[""absolute_quality_below_0.95""]",,,,0.539484504,0.0,0.0,0.453754598,0.135819566,0.0,0.0,0.62657579,0.0,1.1592e-05,1.8875e-05,2.6079e-05,0.02590839,0.027232561,0.028246225,79.410233798,150.684549279,157.051322628,77.267095115,149.825010945,155.703198504,79.331508119,150.671807198,156.959396045,0.970173937,2.174052205,2.209972542
legacy-comparison,attempt-7e8d30b9fe014d74a2983459225b1145,1,0,candidate,COMPLETED,128,128,99,0.7734375,78.631832264,80.502754872,1.627839467993705,6.231572963413401,1377148928,"[2.18, 1.77, 1.39, 2.62, 1.98, 1.5]",9550,12740,490,False,"[""absolute_quality_below_0.95""]",,,,0.55724378,0.0,0.0,0.472783242,0.137219628,0.0,0.0,0.637497338,0.0,1.4748e-05,2.8833e-05,3.3773e-05,0.026045785,0.027471805,0.028779346,39.305266745,74.379791636,77.523334006,38.228760874,73.899769501,76.856583783,39.235739671,74.352425838,77.422661199,0.578059755,1.103586198,1.112835188
legacy-comparison,attempt-807b9d388a774011acbb04d391d1191b,1,2,candidate,COMPLETED,128,128,99,0.7734375,78.331147992,80.361600308,1.634088140940724,6.255493664538709,1377193984,"[3.07, 3.58, 2.5, 3.78, 3.68, 2.62]",9550,12740,490,False,"[""absolute_quality_below_0.95""]",,,,0.525054125,0.0,0.0,0.453535289,0.137076632,0.0,0.0,0.657580529,0.0,1.8134e-05,3.3002e-05,5.6004e-05,0.026265772,0.030462001,0.039841075,39.944761848,74.075156,77.223738583,38.843348694,73.593368457,76.560580817,39.863702088,74.057570583,77.127140982,0.578174483,1.099755141,1.147756093
legacy-comparison,attempt-c8478af2e19a441baa00086d2455f5f3,1,1,candidate,COMPLETED,128,128,99,0.7734375,78.531012564,80.448130474,1.6299293211797634,6.239573182641283,1381523456,"[2.62, 1.98, 1.5, 2.61, 2.16, 1.61]",9550,12740,490,False,"[""absolute_quality_below_0.95""]",,,,0.537377298,0.0,0.0,0.454673205,0.136502054,0.0,0.0,0.658068449,0.0,1.4928e-05,3.2721e-05,3.9684e-05,0.026017222,0.027558477,0.028832474,39.350163755,74.266120512,77.424093571,38.275359045,73.787111008,76.755518466,39.284898411,74.249174789,77.327585885,0.579646303,1.098618066,1.151049287
legacy-comparison,attempt-f5e310022c50421eb0c8fbaca9a8c64b,4,2,candidate,COMPLETED,128,128,99,0.7734375,25.953075859,28.294671884,4.931978032022443,19.149945952462144,1475047424,"[2.66, 3.47, 3.06, 2.7, 3.41, 3.05]",2077,20213,497,False,"[""absolute_quality_below_0.95""]",,,,0.582135114,0.0,0.0,0.471207858,0.137823219,0.0,0.0,0.634941198,0.0,2.3784e-05,5.2247e-05,7.4378e-05,0.07815437,0.256223346,0.278925423,14.915991221,24.850434042,25.71889762,14.524942358,24.543071501,25.43872587,14.696138219,24.79594509,25.617493885,0.671519738,1.152330967,5.127290739
legacy-comparison,attempt-415f123085be4036a4720561cc6fac27,1,2,baseline,COMPLETED,128,128,99,0.7734375,163.016830765,165.035843464,0.7851949973467515,3.0058245992180326,1385545728,"[4.69, 3.5, 2.24, 3.07, 3.58, 2.5]",22290,0,490,False,"[""absolute_quality_below_0.95""]",,,,0.540324014,0.0,0.0,0.458799904,0.140246995,0.0,0.0,0.665798716,0.0,1.631e-05,3.7319e-05,0.000108091,0.026073114,0.028912201,0.055145031,83.011149471,154.364365763,160.747856917,80.848543344,153.513525572,159.392517007,82.929054547,154.337316855,160.644438758,1.111103766,2.19675914,2.363230206
legacy-comparison,attempt-2fd2e65f95d44d8eaece2f96086beb53,4,2,baseline,COMPLETED,128,128,99,0.7734375,155.905597571,158.244367473,0.8210096493918912,3.1429275640783336,1476886528,"[3.48, 3.9, 3.1, 2.8, 3.51, 3.07]",22290,0,490,False,"[""absolute_quality_below_0.95""]",,,,0.58779816,0.0,0.0,0.472199161,0.13355175,0.0,0.0,0.671379348,0.0,2.5638e-05,6.1835e-05,8.1041e-05,0.077506446,2.621521578,3.326703656,75.417557001,144.719055298,153.73843303,72.707883551,140.455688308,151.572011762,75.346538305,144.616131649,153.635552511,4.816366248,6.305251065,7.663398164
legacy-comparison,attempt-e998bd9edfc24cdc9d9b114042c66bdd,4,0,baseline,COMPLETED,128,128,99,0.7734375,161.499409837,163.652160105,0.792572555708961,3.0340668148233663,1472647168,"[3.78, 3.68, 2.62, 8.24, 4.49, 3.03]",22290,0,490,False,"[""absolute_quality_below_0.95""]",,,,0.599852707,0.0,0.0,0.45587592,0.1471902,0.0,0.0,0.659567352,0.0,2.4826e-05,5.6014e-05,9.4956e-05,0.334518456,2.616401249,3.816181202,76.30817049,148.158556766,159.214986312,73.626023745,142.798194063,156.711335647,76.241880884,148.084223879,159.102282944,4.874551179,7.410546966,9.664136088
legacy-comparison,attempt-658054606e3744f0a397f220d88b7170,4,1,baseline,COMPLETED,128,128,99,0.7734375,155.084068731,157.293902242,0.8253587944098986,3.1595766348503926,1476755456,"[5.16, 4.28, 3.05, 3.48, 3.9, 3.1]",22290,0,490,False,"[""absolute_quality_below_0.95""]",,,,0.556080646,0.0,0.0,0.45922778,0.139671284,0.0,0.0,0.645025282,0.0,3.0006e-05,6.3257e-05,7.3066e-05,0.513937242,2.399788741,3.095356599,72.683136983,143.533452686,152.812165989,69.956255057,141.301002846,150.543113714,71.390689675,143.449455857,152.706058361,4.94707884,6.492291226,7.309081596
legacy-protocol-failure,attempt-79ef9215fce64bbb86824cbcd11c9d16,1,0,baseline,INTERRUPTED,30,128,0,0.0,37.095735083,38.811665795,0.0,0.0,1383473152,"[1.79, 1.45, 1.12, 2.78, 1.76, 1.23]",0,0,0,False,"[""attempt_not_completed"", ""missing_requests"", ""not_all_requests_succeeded"", ""absolute_quality_below_0.95""]",,,,0.572061367,0.0,0.0,0.472789995,1.2052e-05,0.0,0.0,0.641989306,0.0,1.1932e-05,2.3504e-05,2.4065e-05,0.026470855,2.092758984,2.104707259,18.227754562,36.112910546,36.951321956,16.839676304,35.509230727,36.115599554,16.84370405,35.513428829,36.119681309,0.92015654,2.192889183,2.397110752
development,attempt-95b5419029c448338f1073c7165f594a,1,0,baseline,COMPLETED,8,8,6,0.75,8.56557395,9.947170004,0.9339712722928508,3.7358850891714033,1377161216,"[2.54, 3.65, 8.69, 2.92, 3.69, 8.65]",1199,0,32,False,"[""absolute_quality_below_0.95"", ""development_recipe_not_measurement""]",6,1442050048,,0.056790825,0.0,0.0,0.438311879,0.140590021,0.0,0.0,0.701821302,0.0,0.000871081,0.015991143,0.015991143,0.018903813,0.025011556,0.025026554,4.519675262,8.544437003,8.544437003,3.549795674,7.557885415,7.557885415,4.451898958,8.473413638,8.473413638,0.973931276,1.011448049,1.011448049
development,attempt-cdfa74b562fa44cea228a4ecb7b7dc97,1,0,candidate,COMPLETED,8,8,6,0.75,8.559828851,9.976775448,0.9345981256465662,3.7383925025862648,1377361920,"[2.92, 3.69, 8.65, 3.24, 3.74, 8.61]",707,492,32,False,"[""absolute_quality_below_0.95"", ""development_recipe_not_measurement""]",6,1447882752,,0.039122822,0.0,0.0,0.438591308,0.13976189,0.0,0.0,0.716715032,0.0,0.00319256,0.015913358,0.015913358,0.018983651,0.025930626,0.03402195,4.102878995,8.136987287,8.136987287,3.537863052,7.549104408,7.549104408,4.037745238,8.069028182,8.069028182,0.583072298,1.005738247,1.005738247
development,attempt-8491a78c65ed49c4bcd802b881f8f339,1,1,baseline,COMPLETED,8,8,6,0.75,8.558759702,10.047206792,0.9347148744146386,3.7388594976585545,1375084544,"[3.28, 3.73, 8.56, 3.32, 3.72, 8.5]",1199,0,32,False,"[""absolute_quality_below_0.95"", ""development_recipe_not_measurement""]",6,1445621760,,0.044466694,0.0,0.0,0.451951276,0.139801784,0.0,0.0,0.705636751,0.0,0.000870449,0.007705407,0.007705407,0.017265544,0.024989876,0.026022377,4.535193936,8.539083612,8.539083612,3.560181628,7.544599656,7.544599656,4.473875678,8.482000494,8.482000494,0.978558356,1.016778448,1.016778448
development,attempt-a80e37f0d3f84a1389dfec4fd0cf9dd5,1,1,candidate,COMPLETED,8,8,6,0.75,8.555691714,10.00963218,0.9350500540954858,3.740200216381943,1377185792,"[3.24, 3.74, 8.61, 3.28, 3.73, 8.56]",707,492,32,False,"[""absolute_quality_below_0.95"", ""development_recipe_not_measurement""]",6,1447706624,,0.041138582,0.0,0.0,0.456888452,0.141195697,0.0,0.0,0.706780559,0.0,0.003178764,0.015959815,0.015959815,0.023969768,0.025189467,0.0259969,4.104822151,8.130777773,8.130777773,3.540952501,7.554253618,7.554253618,4.03763324,8.062657509,8.062657509,0.573338858,0.973716737,0.973716737
