study,attempt_id,concurrency,pair_index,arm,request_id,stratum,expected,status,finish_reason,output_text,output_token_ids,correct,prompt_tokens,generated_tokens,arrival_to_completion_s,arrival_to_first_token_s,dispatch_to_completion_s,queue_s
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r010,128,QKYKL,SUCCEEDED,eos,QKYKL,"[48, 76585, 52983, 151645]",True,186,4,59.858787471,57.839750846,5.882730982,53.974570353
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r011,256,ADGFH,SUCCEEDED,eos,ADGFH,"[1808, 36332, 39, 151645]",True,314,4,68.079068628,66.107138737,8.211057202,59.866231744
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r012,16,IJXBO,SUCCEEDED,eos,IJXBO,"[76686, 55, 4677, 151645]",True,75,4,70.827783614,68.865342001,2.74094702,68.084864524
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r013,64,KQOJT,SUCCEEDED,eos,KQOJT,"[42, 48, 46, 81181, 151645]",True,123,5,76.968324891,73.831390995,6.130477929,70.8361156
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r014,128,PUWLS,SUCCEEDED,eos,PUWLS,"[6325, 54, 7268, 151645]",True,186,4,82.416187771,80.339023182,5.435298118,76.978731597
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r015,256,TRYQT,SUCCEEDED,eos,TRYQT,"[26201, 43678, 151645]",True,313,3,90.181656711,88.816103853,7.48409768,82.696672311
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r016,16,SNGEK,SUCCEEDED,eos,SNGEK,"[50, 6140, 71133, 151645]",True,74,4,92.986041296,90.957990547,2.795205182,90.189395282
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r017,64,BNYFB,SUCCEEDED,eos,BNYFB,"[15594, 56, 16208, 151645]",True,122,4,97.816722048,95.727034505,4.822655698,92.992592999
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r018,128,PGDUL,SUCCEEDED,eos,PGDUL,"[11383, 35, 1094, 151645]",True,186,4,103.296765715,101.227718383,5.438139114,97.85721851
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r019,256,TNXIM,SUCCEEDED,eos,TNXIM,"[29171, 55, 1791, 151645]",True,314,4,111.794419852,109.763104347,8.097619499,103.695361406
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r020,16,DUVSS,SUCCEEDED,eos,DUVSS,"[21547, 53, 1220, 151645]",True,74,4,115.300115098,112.642038296,3.417384202,111.880842231
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r021,64,XWJEZ,SUCCEEDED,eos,XWJEZ,"[55, 54, 40329, 57, 151645]",True,123,5,121.831662421,118.482987814,6.113971051,115.716710655
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r022,128,YOQEG,SUCCEEDED,eos,YOQEG,"[56644, 48, 9376, 151645]",True,187,4,127.488799862,125.453971239,5.645687133,121.837311253
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r023,256,BEAJN,SUCCEEDED,eos,BEAJN,"[11594, 30594, 45, 151645]",True,314,4,135.94488974,133.930576094,8.138960724,127.80446951
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r024,16,RIDSY,SUCCEEDED,eos,RIDSY,"[62475, 18416, 151645]",True,73,3,138.034282905,136.690976537,2.074307602,135.958512902
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r025,64,TSUAZ,SUCCEEDED,eos,TSUAZ,"[9951, 17782, 57, 151645]",True,122,4,142.837379391,140.767481135,4.796385117,138.039554856
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r026,128,RGLDR,SUCCEEDED,eos,RGLDR,"[49, 3825, 7687, 151645]",True,186,4,148.427595735,146.44607169,5.469827816,142.956351704
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r027,256,ABEOS,SUCCEEDED,eos,ABEOS,"[1867, 55940, 151645]",True,314,3,156.18548917,154.854629885,7.363566047,148.820931447
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r028,16,LNVOV,SUCCEEDED,eos,LNVOV,"[50216, 11169, 53, 151645]",True,74,4,158.952392314,156.941405069,2.760926652,156.190026344
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r029,64,MNFBL,SUCCEEDED,eos,MNFBL,"[44, 38067, 9389, 151645]",True,122,4,163.636260862,161.677620682,4.656862641,158.977971465
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r030,128,HBGSL,SUCCEEDED,eos,HBGSL,"[30725, 38, 7984, 151645]",True,186,4,169.265649524,167.30163329,5.369856674,163.89434719
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r031,256,SECMG,SUCCEEDED,eos,SECMG,"[925, 9985, 38, 151645]",True,314,4,177.484145068,175.518539737,8.211353553,169.271321489
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r032,16,PFSRK,SUCCEEDED,eos,PFSRK,"[47, 8485, 77020, 151645]",True,74,4,180.963790436,178.612054642,3.103165394,177.85923202
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r033,64,LGIFC,SUCCEEDED,eos,LGIFC,"[47130, 2773, 34, 151645]",True,122,4,185.737253475,183.796608324,4.710734704,181.025665844
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r034,128,WOXHN,SUCCEEDED,eos,WOXHN,"[22681, 55, 43165, 151645]",True,186,4,191.356357228,189.3817476,5.395757484,185.959704157
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r035,256,DJVCP,SUCCEEDED,eos,DJVCP,"[53272, 53, 7123, 151645]",True,314,4,199.598223164,197.477990808,8.181586789,191.407137878
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r036,16,DXUEF,SUCCEEDED,eos,DXUEF,"[16591, 2230, 37, 151645]",True,74,4,202.63397293,200.672169504,2.71615851,199.911181276
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r037,64,REDGM,SUCCEEDED,eos,REDGM,"[6504, 20637, 151645]",True,121,3,208.087959337,206.64685483,5.100234359,202.978578096
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r038,128,JBKIS,SUCCEEDED,eos,JBKIS,"[46107, 42, 1637, 151645]",True,186,4,214.5326484,212.579802453,6.361664418,208.170022162
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r039,256,VTBBT,SUCCEEDED,eos,VTBBT,"[20457, 10098, 51, 151645]",True,314,4,222.90557847,220.927592229,7.955925722,214.94403354
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r040,16,AUMKK,SUCCEEDED,eos,AUMKK,"[32, 2794, 50457, 151645]",True,74,4,225.79006414,223.88340729,2.703779343,223.08388947
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r041,64,AJKBD,SUCCEEDED,eos,AJKBD,"[30594, 42, 9548, 151645]",True,122,4,230.690353629,228.74982838,4.65022033,226.039260865
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r042,128,NEYRC,SUCCEEDED,eos,NEYRC,"[74131, 7380, 151645]",True,186,3,235.711197514,234.397967116,4.682633089,231.025387483
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r043,256,TWUQL,SUCCEEDED,eos,TWUQL,"[47069, 52, 3588, 151645]",True,314,4,244.461880447,242.496376875,8.412338768,236.04634524
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r044,16,FIBTZ,SUCCEEDED,eos,FIBTZ,"[37, 3256, 90426, 151645]",True,74,4,247.215730469,245.213828772,2.743423549,244.470901184
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r045,64,RYOMF,SUCCEEDED,eos,RYOMF,"[11242, 1898, 37, 151645]",True,123,4,252.093087792,250.101528301,4.863058383,247.228046789
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r046,128,HESFU,SUCCEEDED,eos,HESFU,"[39, 1570, 81213, 151645]",True,186,4,258.037631465,256.066804596,5.848186386,252.187078565
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r047,256,WBCTI,SUCCEEDED,eos,WBCTI,"[52868, 1162, 40, 151645]",True,314,4,266.992363878,265.053995614,8.818427205,258.170304313
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r048,16,UDBLU,SUCCEEDED,eos,UDBLU,"[52, 3506, 23236, 151645]",True,74,4,269.89126799,267.916766614,2.705921309,267.18299225
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r049,64,GMIZW,SUCCEEDED,eos,GMIZW,"[20637, 2843, 54, 151645]",True,122,4,274.85315042,272.8780502,4.689654425,270.160332188
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r050,128,FRACF,SUCCEEDED,eos,FRACF,"[10504, 1706, 37, 151645]",True,186,4,280.642713441,278.611789965,5.44522953,275.194309544
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r051,256,PAXXL,SUCCEEDED,eos,PAXXL,"[47, 2954, 36530, 151645]",True,314,4,288.685166707,286.672156798,8.024288773,280.657666578
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r052,16,PPRSV,SUCCEEDED,eos,PPRSV,"[4406, 11451, 53, 151645]",True,74,4,291.441778359,289.462030179,2.740349508,288.69829558
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r053,64,HWHDK,SUCCEEDED,eos,HWHDK,"[39, 19890, 18301, 151645]",True,122,4,296.072231804,294.102071065,4.61269668,291.457028148
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r054,128,UNJGS,SUCCEEDED,eos,UNJGS,"[1861, 41, 16522, 151645]",True,186,4,301.512876681,299.587889649,5.251836452,296.259711456
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r055,256,ONYIS,SUCCEEDED,eos,ONYIS,"[52275, 1637, 151645]",True,314,3,309.148834136,307.488341367,7.629188828,301.518364294
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r056,16,HHYUX,SUCCEEDED,eos,HHYUX,"[23180, 56, 13401, 151645]",True,74,4,312.210538092,310.025793281,2.906985451,309.302246721
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r057,64,PTWOT,SUCCEEDED,eos,PTWOT,"[2828, 54, 1793, 151645]",True,122,4,316.984294989,315.009850718,4.655615871,312.327226815
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r058,128,CFQIH,SUCCEEDED,eos,CFQIH,"[9650, 48, 75023, 151645]",True,186,4,322.797828929,320.625717628,5.529905318,317.26394693
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r059,256,FHSUA,SUCCEEDED,eos,FHSUA,"[37, 11961, 17782, 151645]",True,314,4,331.396677334,329.376842664,8.212525965,323.183263286
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r060,16,AOEQK,SUCCEEDED,eos,AOEQK,"[18746, 54007, 42, 151645]",True,75,4,334.171412673,332.227403852,2.755983933,331.412680425
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r061,64,CEEWT,SUCCEEDED,eos,CEEWT,"[42577, 18454, 151645]",True,122,3,338.341887837,337.065601881,3.997316443,334.343565112
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r062,128,UHESG,SUCCEEDED,eos,UHESG,"[52, 39, 1570, 38, 151645]",True,187,5,344.994155635,342.356746805,6.569954366,338.423317655
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r063,256,HRBDO,SUCCEEDED,eos,HRBDO,"[17088, 33, 5865, 151645]",True,314,4,353.365080945,351.360059833,8.038823943,345.321449045
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r064,16,TQODF,SUCCEEDED,eos,TQODF,"[51, 48, 2069, 37, 151645]",True,75,5,356.820728765,354.236072926,3.375126954,353.443254263
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r065,64,EODNE,SUCCEEDED,eos,EODNE,"[36, 2069, 3944, 151645]",True,122,4,361.585361482,359.58181323,4.75829878,356.826150484
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r066,128,TPMWS,SUCCEEDED,eos,TPMWS,"[4239, 44, 7433, 151645]",True,185,4,366.94591911,364.933034985,5.346945226,361.595951669
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r067,256,CRXLA,SUCCEEDED,eos,CRXLA,"[8973, 55, 17845, 151645]",True,314,4,375.626848277,373.665063726,8.314201371,367.310274651
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r068,16,QPRCO,SUCCEEDED,eos,QPRCO,"[48, 6480, 8281, 151645]",True,74,4,378.37434705,376.399484842,2.72831891,375.642045378
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r069,64,COMFO,SUCCEEDED,eos,COMFO,"[8696, 3788, 151645]",True,121,3,382.434871099,381.232875535,3.936729102,378.495970166
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r070,128,AOAFH,SUCCEEDED,eos,AOAFH,"[18746, 8276, 39, 151645]",True,186,4,387.903400519,385.957956517,5.383957325,382.517088172
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r071,256,OMIHS,SUCCEEDED,eos,OMIHS,"[1898, 40, 11961, 151645]",True,314,4,396.054005111,394.060370729,8.142100947,387.910858488
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r072,16,YWEFG,SUCCEEDED,eos,YWEFG,"[56, 12457, 12001, 151645]",True,74,4,399.217192062,397.217251304,2.776546188,396.437494278
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r073,64,LYCHH,SUCCEEDED,eos,LYCHH,"[8932, 2149, 39, 151645]",True,122,4,404.440304091,402.390959013,4.910231982,399.524712245
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r074,128,CGQQX,SUCCEEDED,eos,CGQQX,"[8798, 48026, 55, 151645]",True,186,4,409.800978617,407.871524031,5.262158622,404.537918006
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r075,256,OBRWK,SUCCEEDED,eos,OBRWK,"[46, 13095, 68316, 151645]",True,314,4,417.791646503,415.863610056,7.982345418,409.808359021
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r076,16,SRUAJ,SUCCEEDED,eos,SRUAJ,"[14557, 17782, 41, 151645]",True,74,4,420.530612417,418.518718705,2.730316909,417.799047115
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r077,64,JIZLD,SUCCEEDED,eos,JIZLD,"[41, 2843, 12335, 151645]",True,122,4,425.399340851,423.444919473,4.811566178,420.586883595
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r078,128,MWGBS,SUCCEEDED,eos,MWGBS,"[54173, 5381, 50, 151645]",True,186,4,431.023065176,428.980064565,5.456581439,425.565513021
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r079,256,ULNBX,SUCCEEDED,eos,ULNBX,"[1094, 33342, 55, 151645]",True,314,4,439.618945367,437.19090316,8.589892018,431.028133968
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r080,16,TKWQM,SUCCEEDED,eos,TKWQM,"[15778, 54, 88878, 151645]",True,74,4,443.895441502,441.865512126,4.152625767,439.741159312
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r081,64,CKCOV,SUCCEEDED,eos,CKCOV,"[3021, 8281, 53, 151645]",True,122,4,448.684220354,446.632248227,4.782192886,443.90106127
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r082,128,CLAJM,SUCCEEDED,eos,CLAJM,"[3140, 30594, 44, 151645]",True,186,4,454.304224441,452.280537884,5.534328929,448.769005976
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r083,256,PGMRC,SUCCEEDED,eos,PGMRC,"[11383, 44, 7380, 151645]",True,314,4,463.040809158,460.728012208,8.465759782,454.574148028
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r084,16,LFOPY,SUCCEEDED,eos,LFOPY,"[22609, 9930, 151645]",True,73,3,465.167140394,463.793242857,2.110904998,463.053094992
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r085,64,CASUC,SUCCEEDED,eos,CASUC,"[87516, 5459, 151645]",True,121,3,469.672773403,468.243352098,4.117496924,465.554367057
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r086,128,UYSXX,SUCCEEDED,eos,UYSXX,"[52, 9394, 6148, 151645]",True,186,4,475.14956606,473.039873519,5.450849728,469.696465302
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r087,256,YYDBN,SUCCEEDED,eos,YYDBN,"[10060, 3506, 45, 151645]",True,314,4,483.714855795,481.659853128,8.144681991,475.561932297
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r088,16,FXJZS,SUCCEEDED,eos,FXJZS,"[16381, 41, 57, 50, 151645]",True,75,5,487.232783113,484.592409626,3.471304055,483.760590134
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r089,64,KWSQM,SUCCEEDED,eos,KWSQM,"[42, 7433, 88878, 151645]",True,122,4,492.31614368,490.363741369,4.675516005,487.635023015
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r090,128,YETUQ,SUCCEEDED,eos,YETUQ,"[56, 1348, 52, 48, 151645]",True,187,5,498.830332158,496.125220366,6.163891791,492.663914076
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r091,256,VXGUY,SUCCEEDED,eos,VXGUY,"[53, 55, 38, 31301, 151645]",True,314,5,507.583053725,504.938206192,8.739019368,498.840852576
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r092,16,LZJYU,SUCCEEDED,eos,LZJYU,"[43, 57, 41, 56, 52, 151645]",True,75,6,512.325933781,508.776358506,4.52369421,507.799142017
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r093,64,LJYTZ,SUCCEEDED,eos,LJYTZ,"[43, 41, 78345, 57, 151645]",True,122,5,518.21128541,515.511048028,5.366724595,512.841419298
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r094,128,UXQWK,SUCCEEDED,eos,UXQWK,"[13401, 48, 68316, 151645]",True,186,4,523.596156525,521.598972597,5.364042103,518.228922261
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r095,256,RTDYO,SUCCEEDED,eos,RTDYO,"[5350, 35, 56644, 151645]",True,314,4,532.177066548,530.101525861,8.311584349,523.862315796
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r096,16,KDIEJ,SUCCEEDED,eos,KDIEJ,"[89609, 5371, 41, 151645]",True,74,4,534.978860091,532.958937838,2.784647215,532.191816697
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r097,64,HLFDB,SUCCEEDED,eos,HLFDB,"[13485, 37, 3506, 151645]",True,122,4,540.342739173,537.756046692,5.348666482,534.990905276
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r098,128,SXFLF,SUCCEEDED,eos,SXFLF,"[90488, 6126, 37, 151645]",True,186,4,546.23398981,544.114025062,5.489645015,540.741152874
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r099,256,HWBUR,SUCCEEDED,eos,HWBUR,"[38252, 85094, 151645]",True,313,3,553.568607253,552.258467977,7.321872736,546.244347384
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r100,16,ZLQEO,SUCCEEDED,eos,ZLQEO,"[57, 43, 48, 6760, 151645]",True,75,5,557.237204051,554.616281782,3.380392001,553.853635068
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r101,64,XLQSN,SUCCEEDED,eos,XLQSN,"[36530, 48, 18966, 151645]",True,122,4,562.076833905,559.933076219,4.826136463,557.249770717
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r102,128,FSBAS,SUCCEEDED,eos,FSBAS,"[8485, 33, 1911, 151645]",True,186,4,567.463570912,565.532332757,5.366556602,562.094714319
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r103,256,GWCSJ,SUCCEEDED,eos,GWCSJ,"[62565, 6412, 41, 151645]",True,314,4,575.919348428,573.986318889,8.070737622,567.846251184
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r104,16,BLRAU,SUCCEEDED,eos,BLRAU,"[9389, 5609, 52, 151645]",True,74,4,578.653688634,576.741573085,2.658568628,575.992779671
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r105,64,UCHCB,SUCCEEDED,eos,UCHCB,"[29493, 12979, 151645]",True,122,3,583.317706821,582.034590474,4.391794079,578.921925522
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r106,128,CDESG,SUCCEEDED,eos,CDESG,"[34, 1150, 7783, 151645]",True,186,4,588.622144072,586.657596198,5.290128924,583.328810144
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r107,256,XIDOI,SUCCEEDED,eos,XIDOI,"[55, 70974, 40, 151645]",True,314,4,596.896197531,594.928829836,7.950699511,588.942351164
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r108,16,IOFOC,SUCCEEDED,eos,IOFOC,"[3810, 3788, 34, 151645]",True,74,4,599.660047443,597.741774465,2.650071495,597.008821409
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r109,64,IQACS,SUCCEEDED,eos,IQACS,"[61950, 62687, 151645]",True,121,3,603.894777603,602.53624022,3.950611487,599.941681312
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r110,128,VVHOF,SUCCEEDED,eos,VVHOF,"[67707, 39, 12483, 151645]",True,187,4,609.529076312,607.520754918,5.441711933,604.084184491
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r111,256,XSKDN,SUCCEEDED,eos,XSKDN,"[55, 15699, 31264, 151645]",True,314,4,617.92785168,615.988811415,8.015530695,609.909913264
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r112,16,WSHEC,SUCCEEDED,eos,WSHEC,"[7433, 1799, 34, 151645]",True,74,4,620.749811982,618.827385525,2.655795306,618.090753203
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r113,64,RIRFW,SUCCEEDED,eos,RIRFW,"[49, 2801, 18222, 151645]",True,122,4,626.063729666,624.108340437,4.88659282,621.173988017
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r114,128,ILWLW,SUCCEEDED,eos,ILWLW,"[1715, 61139, 54, 151645]",True,186,4,631.660603519,629.802057161,5.521758937,626.136481755
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r115,256,RDGTF,SUCCEEDED,eos,RDGTF,"[36690, 38, 10808, 151645]",True,314,4,639.94692222,637.890360052,7.936690066,632.005536726
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r116,16,LVSYA,SUCCEEDED,eos,LVSYA,"[40258, 18416, 32, 151645]",True,74,4,642.939288411,640.935813506,2.799446526,640.136675303
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r117,64,LAPQQ,SUCCEEDED,eos,LAPQQ,"[43, 2537, 48026, 151645]",True,121,4,647.828796706,645.821188159,4.68953885,643.13836253
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r118,128,MSBEU,SUCCEEDED,eos,MSBEU,"[4826, 11594, 52, 151645]",True,186,4,653.666721758,651.673296685,5.579339755,648.085990814
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r119,256,HYOVZ,SUCCEEDED,eos,HYOVZ,"[48852, 38957, 57, 151645]",True,314,4,662.159481296,660.157317501,8.103891971,654.054145117
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r120,16,TTRFJ,SUCCEEDED,eos,TTRFJ,"[51, 2378, 37, 41, 151645]",True,75,5,665.712062044,663.062846622,3.452511663,662.253911197
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r121,64,JDYND,SUCCEEDED,eos,JDYND,"[49915, 56, 8065, 151645]",True,122,4,670.946198748,668.883851414,4.860524958,666.084152419
