case_id,pair_index,concurrency,table_index,table_sha256,offered_tasks,both_correct,baseline_only_correct,candidate_only_correct,both_wrong,observed_either_answer_correct,changed_output_token_sequences,baseline_observed_requests,baseline_correct,baseline_first_use_native_new_tokens,baseline_subsequent_native_new_tokens,baseline_all_native_new_tokens,baseline_generated_tokens,candidate_observed_requests,candidate_correct,candidate_first_use_native_new_tokens,candidate_subsequent_native_new_tokens,candidate_all_native_new_tokens,candidate_generated_tokens
h1-small-reuse24,0,1,6,31c273a31cd186f5a8a683fcd5738d3b6ca032eb15fcf924351121440bf92fa2,8,4,2,1,1,7,4,8,6,202,82,284,33,8,5,22,150,172,33
h1-small-reuse24,0,1,7,ce463ecae5f51b8506fc3a430b267bad026cb4a2f4a1a80ab72faeb6f40b2987,8,2,2,2,2,6,6,8,4,210,84,294,35,8,4,22,154,176,32
h1-small-reuse24,0,1,8,56d9cfb76db81890e3f27be0447bd2a04a2fcdf8ac5ea1dc287b177c12fc4fcc,8,2,1,3,2,6,5,8,3,208,85,293,34,8,5,20,156,176,31
h1-small-reuse24,0,1,9,7dfce28e2c90ec4cf02b6faa00cc10bfbe877bc0128c2dc426154a4072defced,8,3,1,2,2,6,5,8,4,207,84,291,33,8,5,21,155,176,34
h1-small-reuse24,0,1,10,b74e2f13ac0461af186d9e3d4ae5ae77a0a95f703d5ec928740df1bab8cf56d3,8,2,1,3,2,6,5,8,3,203,81,284,35,8,5,22,148,170,32
h1-small-reuse24,0,1,11,5a349e401fff133aa08cf08ac9effdaaf2656297fb7ec4f69fd66df1d01f4756,8,2,2,1,3,5,6,8,4,213,84,297,34,8,3,22,156,178,36
h1-small-reuse24,0,1,12,edefefb0bcf5d7dd4f9b5205bc5c43ac53d77498099c84e68441a5f68437daf8,8,0,3,2,3,5,8,8,3,205,85,290,31,8,2,22,153,175,33
h1-small-reuse24,0,1,13,c7aab0ddac869462273e075103bd0ef7393b6afd4edf83ad4c92dd6a7c739030,8,1,0,2,5,3,4,8,1,203,84,287,34,8,3,20,154,174,34
h1-small-reuse24,0,1,14,8072f457b97eb28dfeab619075dbb71df9d5b884ad0d9061be00f5ea028355ea,8,1,3,2,2,6,7,8,4,206,82,288,33,8,3,22,151,173,33
h1-small-reuse24,0,1,15,8f5d398b8c2e9af3d3281a2bd74b8562743308cf4e7ea1f1fed4a9810c4542b3,8,1,2,4,1,7,7,8,3,208,84,292,34,8,5,22,155,177,37
h1-small-reuse24,1,1,0,e2bbcf7fdcde8b11629d90c05f4882448617accadbe671b62961f35e85473931,8,1,2,2,3,5,7,8,3,278,84,362,33,8,3,92,155,247,31
h1-small-reuse24,1,1,1,5a1ee5278b6015963dfae3285b51acf7892b79a0d9029eedd2291b9ef4f8aa2d,8,5,0,2,1,7,3,8,5,206,84,290,31,8,7,22,153,175,31
h1-small-reuse24,1,1,2,4b2234251b56f044b6c9d6572412a4f70ddf4d9d40746b2f7ff5b754c458c9a3,8,3,1,1,3,5,5,8,4,202,84,286,34,8,4,22,155,177,34
h1-small-reuse24,1,1,3,de7452659b7303feb075caac1c0e06e99c3f8c11f8563dcadf86a93adf7e608d,8,0,2,3,3,5,7,8,2,211,86,297,34,8,3,22,159,181,37
h1-small-reuse24,1,1,4,465aba40aeff43f68e362d37f102e2178ab71d65fb90a666b41011b524868280,8,0,2,1,5,3,8,8,2,206,82,288,33,8,1,21,152,173,32
h1-small-reuse24,1,1,5,ce6da994793097e8265f857fad5e4e835b9ff468e4bbf067e735e140b309694e,8,4,0,1,3,5,4,8,4,200,83,283,33,8,5,20,150,170,32
h1-small-reuse24,1,1,6,31c273a31cd186f5a8a683fcd5738d3b6ca032eb15fcf924351121440bf92fa2,8,4,2,1,1,7,4,8,6,202,82,284,33,8,5,22,150,172,33
h1-small-reuse24,1,1,7,ce463ecae5f51b8506fc3a430b267bad026cb4a2f4a1a80ab72faeb6f40b2987,8,2,2,2,2,6,6,8,4,210,84,294,35,8,4,22,154,176,32
h1-small-reuse24,1,1,8,56d9cfb76db81890e3f27be0447bd2a04a2fcdf8ac5ea1dc287b177c12fc4fcc,8,2,1,3,2,6,5,8,3,208,85,293,34,8,5,20,156,176,31
h1-small-reuse24,1,1,9,7dfce28e2c90ec4cf02b6faa00cc10bfbe877bc0128c2dc426154a4072defced,8,3,1,2,2,6,5,8,4,207,84,291,33,8,5,21,155,176,34
h1-small-reuse24,1,1,10,b74e2f13ac0461af186d9e3d4ae5ae77a0a95f703d5ec928740df1bab8cf56d3,8,2,1,3,2,6,5,8,3,203,81,284,35,8,5,22,148,170,32
h1-small-reuse24,1,1,11,5a349e401fff133aa08cf08ac9effdaaf2656297fb7ec4f69fd66df1d01f4756,8,2,2,1,3,5,6,8,4,213,84,297,34,8,3,22,156,178,36
h1-small-reuse24,1,1,12,edefefb0bcf5d7dd4f9b5205bc5c43ac53d77498099c84e68441a5f68437daf8,8,0,3,2,3,5,8,8,3,205,85,290,31,8,2,22,153,175,33
h1-small-reuse24,1,1,13,c7aab0ddac869462273e075103bd0ef7393b6afd4edf83ad4c92dd6a7c739030,8,1,0,2,5,3,4,8,1,203,84,287,34,8,3,20,154,174,34
h1-small-reuse24,1,1,14,8072f457b97eb28dfeab619075dbb71df9d5b884ad0d9061be00f5ea028355ea,8,1,3,2,2,6,7,8,4,206,82,288,33,8,3,22,151,173,33
h1-small-reuse24,1,1,15,8f5d398b8c2e9af3d3281a2bd74b8562743308cf4e7ea1f1fed4a9810c4542b3,8,1,2,4,1,7,7,8,3,208,84,292,34,8,5,22,155,177,37
h2-small-reuse64,0,1,0,363708ff503f422442a84205041663204f6ca24df6094fb6ccdee1fa90089452,8,2,1,3,2,6,6,8,3,597,85,682,34,8,5,90,155,245,32
h2-small-reuse64,0,1,1,bbf57066674006b1972ce3add31d36a2e3d882ffc9ff1ba72f67913cea899c51,8,1,0,2,5,3,5,8,1,518,83,601,32,8,3,20,151,171,34
h2-small-reuse64,0,1,2,3f36045073a7e3ea0bdc2d225bc8f1527be54ad91409eceb85f08880257b6cda,8,1,2,3,2,6,7,8,3,522,83,605,32,8,4,20,154,174,34
h2-small-reuse64,0,1,3,97d1a0ffe814888e0b953ccdbaebac51e9405046c416b2d26277c67210d2c04d,8,1,2,3,2,6,6,8,3,515,82,597,33,8,4,22,148,170,30
h2-small-reuse64,0,1,4,49a4a6f3b0d4bdbce0372394528fcbda918e69727938772e103f943fa24f070f,8,2,0,4,2,6,6,8,2,533,83,616,37,8,6,23,152,175,33
h2-small-reuse64,0,1,5,773276865e31957cc099eb49a810711fa968e72b30adaee99ef888ec93469acd,8,1,2,1,4,4,4,8,3,518,83,601,35,8,2,23,152,175,34
h2-small-reuse64,0,1,6,992b8f50c056aa6a827fa2aa6f814f155d868289b32bd4fd8e6818079b3f6d50,8,2,3,1,2,6,6,8,5,524,82,606,33,8,3,22,151,173,33
h2-small-reuse64,0,1,7,c346add73791c5b9734afc4d2569a121216762d04195e1c3f89771846d7152aa,8,1,1,4,2,6,6,8,2,526,83,609,37,8,5,21,155,176,34
h2-small-reuse64,0,1,8,32073d2604158d4d79867d3e59c604cc04b768c12c2de3ef7ace418367fb2948,8,0,3,1,4,4,6,8,3,518,82,600,36,8,1,24,156,180,34
h2-small-reuse64,0,1,9,d7390d56000586c3cb3667baaf8333af3ecc3cb46e395fd50bf81c7ac8d0e8f2,8,2,1,4,1,7,6,8,3,519,82,601,34,8,6,20,152,172,33
h2-small-reuse64,0,1,10,bc708ad77692546142999282f7852c06f1f763a4af482caa555ec2bf3782b6bd,8,2,5,0,1,7,6,8,7,531,83,614,34,8,2,23,153,176,37
h2-small-reuse64,0,1,11,83eb72a128089e4c4acd490ddb61b7fc1ff52e701220c3f863de5a1ed0d1ab52,8,2,1,2,3,5,6,8,3,533,85,618,33,8,4,22,155,177,32
h2-small-reuse64,0,1,12,97f0fe773db407e3ea703e9d896ff10b1d7a28865ea7310ee4aa0a15a73340ae,8,1,0,4,3,5,6,8,1,529,82,611,34,8,5,21,150,171,29
h2-small-reuse64,0,1,13,c7b70dab4d36cb30d5e673373ef2a93b4091bdd561e6620bdb9fd867021d1082,8,2,0,0,6,2,5,8,2,529,82,611,40,8,2,22,151,173,34
h2-small-reuse64,0,1,14,09eaa24cc71ab399e2535f01d02bb32674a448760f00557330f0feeb3e791797,8,2,1,1,4,4,5,8,3,532,84,616,34,8,3,22,154,176,39
h2-small-reuse64,0,1,15,8f66e2c926b626d3de1bc31e5816ffed29e15bb75a4715096d4da2d970e0bbc4,8,0,3,2,3,5,8,8,3,518,84,602,33,8,2,22,153,175,33
h2-small-reuse64,1,1,0,363708ff503f422442a84205041663204f6ca24df6094fb6ccdee1fa90089452,8,2,1,3,2,6,6,8,3,597,85,682,34,8,5,90,155,245,32
h2-small-reuse64,1,1,1,bbf57066674006b1972ce3add31d36a2e3d882ffc9ff1ba72f67913cea899c51,8,1,0,2,5,3,5,8,1,518,83,601,32,8,3,20,151,171,34
h2-small-reuse64,1,1,2,3f36045073a7e3ea0bdc2d225bc8f1527be54ad91409eceb85f08880257b6cda,8,1,2,3,2,6,7,8,3,522,83,605,32,8,4,20,154,174,34
h2-small-reuse64,1,1,3,97d1a0ffe814888e0b953ccdbaebac51e9405046c416b2d26277c67210d2c04d,8,1,2,3,2,6,6,8,3,515,82,597,33,8,4,22,148,170,30
h2-small-reuse64,1,1,4,49a4a6f3b0d4bdbce0372394528fcbda918e69727938772e103f943fa24f070f,8,2,0,4,2,6,6,8,2,533,83,616,37,8,6,23,152,175,33
h2-small-reuse64,1,1,5,773276865e31957cc099eb49a810711fa968e72b30adaee99ef888ec93469acd,8,1,2,1,4,4,4,8,3,518,83,601,35,8,2,23,152,175,34
h2-small-reuse64,1,1,6,992b8f50c056aa6a827fa2aa6f814f155d868289b32bd4fd8e6818079b3f6d50,8,2,3,1,2,6,6,8,5,524,82,606,33,8,3,22,151,173,33
h2-small-reuse64,1,1,7,c346add73791c5b9734afc4d2569a121216762d04195e1c3f89771846d7152aa,8,1,1,4,2,6,6,8,2,526,83,609,37,8,5,21,155,176,34
h2-small-reuse64,1,1,8,32073d2604158d4d79867d3e59c604cc04b768c12c2de3ef7ace418367fb2948,8,0,3,1,4,4,6,8,3,518,82,600,36,8,1,24,156,180,34
h2-small-reuse64,1,1,9,d7390d56000586c3cb3667baaf8333af3ecc3cb46e395fd50bf81c7ac8d0e8f2,8,2,1,4,1,7,6,8,3,519,82,601,34,8,6,20,152,172,33
h2-small-reuse64,1,1,10,bc708ad77692546142999282f7852c06f1f763a4af482caa555ec2bf3782b6bd,8,2,5,0,1,7,6,8,7,531,83,614,34,8,2,23,153,176,37
h2-small-reuse64,1,1,11,83eb72a128089e4c4acd490ddb61b7fc1ff52e701220c3f863de5a1ed0d1ab52,8,2,1,2,3,5,6,8,3,533,85,618,33,8,4,22,155,177,32
h2-small-reuse64,1,1,12,97f0fe773db407e3ea703e9d896ff10b1d7a28865ea7310ee4aa0a15a73340ae,8,1,0,4,3,5,6,8,1,529,82,611,34,8,5,21,150,171,29
h2-small-reuse64,1,1,13,c7b70dab4d36cb30d5e673373ef2a93b4091bdd561e6620bdb9fd867021d1082,8,2,0,0,6,2,5,8,2,529,82,611,40,8,2,22,151,173,34
h2-small-reuse64,1,1,14,09eaa24cc71ab399e2535f01d02bb32674a448760f00557330f0feeb3e791797,8,2,1,1,4,4,5,8,3,532,84,616,34,8,3,22,154,176,39
h2-small-reuse64,1,1,15,8f66e2c926b626d3de1bc31e5816ffed29e15bb75a4715096d4da2d970e0bbc4,8,0,3,2,3,5,8,8,3,518,84,602,33,8,2,22,153,175,33
h3-large-reuse24,0,1,0,e2bbcf7fdcde8b11629d90c05f4882448617accadbe671b62961f35e85473931,8,1,3,1,3,5,7,8,4,278,84,362,29,8,2,92,155,247,22
h3-large-reuse24,0,1,1,5a1ee5278b6015963dfae3285b51acf7892b79a0d9029eedd2291b9ef4f8aa2d,8,0,6,1,1,7,8,8,6,206,84,290,29,8,1,22,153,175,19
h3-large-reuse24,0,1,2,4b2234251b56f044b6c9d6572412a4f70ddf4d9d40746b2f7ff5b754c458c9a3,8,3,2,2,1,7,5,8,5,202,84,286,32,8,5,22,155,177,26
h3-large-reuse24,0,1,3,de7452659b7303feb075caac1c0e06e99c3f8c11f8563dcadf86a93adf7e608d,8,2,1,1,4,4,6,8,3,211,86,297,30,8,3,22,159,181,28
h3-large-reuse24,0,1,4,465aba40aeff43f68e362d37f102e2178ab71d65fb90a666b41011b524868280,8,2,2,1,3,5,6,8,4,206,82,288,29,8,3,21,152,173,22
h3-large-reuse24,0,1,5,ce6da994793097e8265f857fad5e4e835b9ff468e4bbf067e735e140b309694e,8,3,0,0,5,3,5,8,3,200,83,283,31,8,3,20,150,170,21
h3-large-reuse24,0,1,6,31c273a31cd186f5a8a683fcd5738d3b6ca032eb15fcf924351121440bf92fa2,8,5,1,0,2,6,4,8,6,202,82,284,29,8,5,22,150,172,27
h3-large-reuse24,0,1,7,ce463ecae5f51b8506fc3a430b267bad026cb4a2f4a1a80ab72faeb6f40b2987,8,4,2,0,2,6,4,8,6,210,84,294,32,8,4,22,154,176,25
h3-large-reuse24,0,1,8,56d9cfb76db81890e3f27be0447bd2a04a2fcdf8ac5ea1dc287b177c12fc4fcc,8,1,4,0,3,5,7,8,5,208,85,293,29,8,1,20,156,176,17
h3-large-reuse24,0,1,9,7dfce28e2c90ec4cf02b6faa00cc10bfbe877bc0128c2dc426154a4072defced,8,3,3,1,1,7,5,8,6,207,84,291,35,8,4,21,155,176,26
h3-large-reuse24,0,1,10,b74e2f13ac0461af186d9e3d4ae5ae77a0a95f703d5ec928740df1bab8cf56d3,8,3,3,2,0,8,6,8,6,203,81,284,30,8,5,22,148,170,26
h3-large-reuse24,0,1,11,5a349e401fff133aa08cf08ac9effdaaf2656297fb7ec4f69fd66df1d01f4756,8,0,2,2,4,4,8,8,2,213,84,297,31,8,2,22,156,178,25
h3-large-reuse24,0,1,12,edefefb0bcf5d7dd4f9b5205bc5c43ac53d77498099c84e68441a5f68437daf8,8,5,0,3,0,8,4,8,5,205,85,290,30,8,8,22,153,175,29
h3-large-reuse24,0,1,13,c7aab0ddac869462273e075103bd0ef7393b6afd4edf83ad4c92dd6a7c739030,8,1,2,2,3,5,8,8,3,203,84,287,31,8,3,20,154,174,23
h3-large-reuse24,0,1,14,8072f457b97eb28dfeab619075dbb71df9d5b884ad0d9061be00f5ea028355ea,8,3,3,1,1,7,6,8,6,206,82,288,33,8,4,22,151,173,28
h3-large-reuse24,0,1,15,8f5d398b8c2e9af3d3281a2bd74b8562743308cf4e7ea1f1fed4a9810c4542b3,8,1,2,1,4,4,8,8,3,208,84,292,32,8,2,22,155,177,22
h3-large-reuse24,1,1,0,e2bbcf7fdcde8b11629d90c05f4882448617accadbe671b62961f35e85473931,8,1,3,1,3,5,7,8,4,278,84,362,29,8,2,92,155,247,22
h3-large-reuse24,1,1,1,5a1ee5278b6015963dfae3285b51acf7892b79a0d9029eedd2291b9ef4f8aa2d,8,0,6,1,1,7,8,8,6,206,84,290,29,8,1,22,153,175,19
h3-large-reuse24,1,1,2,4b2234251b56f044b6c9d6572412a4f70ddf4d9d40746b2f7ff5b754c458c9a3,8,3,2,2,1,7,5,8,5,202,84,286,32,8,5,22,155,177,26
h3-large-reuse24,1,1,3,de7452659b7303feb075caac1c0e06e99c3f8c11f8563dcadf86a93adf7e608d,8,2,1,1,4,4,6,8,3,211,86,297,30,8,3,22,159,181,28
h3-large-reuse24,1,1,4,465aba40aeff43f68e362d37f102e2178ab71d65fb90a666b41011b524868280,8,2,2,1,3,5,6,8,4,206,82,288,29,8,3,21,152,173,22
h3-large-reuse24,1,1,5,ce6da994793097e8265f857fad5e4e835b9ff468e4bbf067e735e140b309694e,8,3,0,0,5,3,5,8,3,200,83,283,31,8,3,20,150,170,21
h3-large-reuse24,1,1,6,31c273a31cd186f5a8a683fcd5738d3b6ca032eb15fcf924351121440bf92fa2,8,5,1,0,2,6,4,8,6,202,82,284,29,8,5,22,150,172,27
h3-large-reuse24,1,1,7,ce463ecae5f51b8506fc3a430b267bad026cb4a2f4a1a80ab72faeb6f40b2987,8,4,2,0,2,6,4,8,6,210,84,294,32,8,4,22,154,176,25
h3-large-reuse24,1,1,8,56d9cfb76db81890e3f27be0447bd2a04a2fcdf8ac5ea1dc287b177c12fc4fcc,8,1,4,0,3,5,7,8,5,208,85,293,29,8,1,20,156,176,17
h3-large-reuse24,1,1,9,7dfce28e2c90ec4cf02b6faa00cc10bfbe877bc0128c2dc426154a4072defced,8,3,3,1,1,7,5,8,6,207,84,291,35,8,4,21,155,176,26
h3-large-reuse24,1,1,10,b74e2f13ac0461af186d9e3d4ae5ae77a0a95f703d5ec928740df1bab8cf56d3,8,3,3,2,0,8,6,8,6,203,81,284,30,8,5,22,148,170,26
h3-large-reuse24,1,1,11,5a349e401fff133aa08cf08ac9effdaaf2656297fb7ec4f69fd66df1d01f4756,8,0,2,2,4,4,8,8,2,213,84,297,31,8,2,22,156,178,25
h3-large-reuse24,1,1,12,edefefb0bcf5d7dd4f9b5205bc5c43ac53d77498099c84e68441a5f68437daf8,8,5,0,3,0,8,4,8,5,205,85,290,30,8,8,22,153,175,29
h3-large-reuse24,1,1,13,c7aab0ddac869462273e075103bd0ef7393b6afd4edf83ad4c92dd6a7c739030,8,1,2,2,3,5,8,8,3,203,84,287,31,8,3,20,154,174,23
h3-large-reuse24,1,1,14,8072f457b97eb28dfeab619075dbb71df9d5b884ad0d9061be00f5ea028355ea,8,3,3,1,1,7,6,8,6,206,82,288,33,8,4,22,151,173,28
h3-large-reuse24,1,1,15,8f5d398b8c2e9af3d3281a2bd74b8562743308cf4e7ea1f1fed4a9810c4542b3,8,1,2,1,4,4,8,8,3,208,84,292,32,8,2,22,155,177,22
