study,phase,mechanism,attempt_id,pair_index,arm,request_id,group_id,family,expected,output,correct,status,finish_reason,prompt_tokens,generated_tokens,dispatch_completion_s,decision,retained_records,symbolic_answer_preserved,closure_records,max_retained_position_permille,min_retained_position_permille,overwritten_writes,total_records
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,attempt-70c3b5d04ef7494f885780f85ba3b4e5,1,baseline,r004,6a29b3bdf7bd41bf95d7b09759e926ee7c7c26c10943c1173387837bdcecf963,reference-chain,DWVOU,U,False,SUCCEEDED,eos,149,2,11.844862388,IDENTITY,,True,3,1000,0,0,8
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,attempt-70c3b5d04ef7494f885780f85ba3b4e5,1,baseline,r005,07aa32c5dfbd2d104349636ddf94a60483b38b30f0d2b6966d8ad978168b3e39,reference-chain,DLYDZ,G,False,SUCCEEDED,eos,150,2,12.110291652,IDENTITY,,True,3,857,571,0,8
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,attempt-70c3b5d04ef7494f885780f85ba3b4e5,1,baseline,r006,82edbf30823b7fba6326c501423c5ec690797a8eaf2531f4c03cbeb747224fbc,reference-chain,DYQHW,DITEI,False,SUCCEEDED,eos,154,4,13.650037822,IDENTITY,,True,3,571,142,0,8
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,attempt-70c3b5d04ef7494f885780f85ba3b4e5,1,baseline,r007,63029a045acf02d2354caa102a9b4d3a96018d1d75d3be4cc4d5a7bfdd97ce27,reference-chain,DXEDM,DXEDM,True,SUCCEEDED,eos,147,4,13.178518068,IDENTITY,,True,3,1000,571,0,8
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,attempt-cc3ebd7fc6654be7a2ace9632c7238f7,0,baseline,r000,44e7ac70e54a06118594fbc77190e25256b11d126b5bba268b938c2e7c3d4cde,reference-chain,DZQRB,B,False,SUCCEEDED,eos,149,2,11.844978808,IDENTITY,,True,3,857,0,0,8
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,attempt-cc3ebd7fc6654be7a2ace9632c7238f7,0,baseline,r001,9c6faad1cb81beb33a5a627a6ce76c4a484f08144f0cb5983508412206624539,reference-chain,DBFMU,BFMU,False,SUCCEEDED,eos,141,4,12.588361387,IDENTITY,,True,3,571,142,0,8
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,attempt-cc3ebd7fc6654be7a2ace9632c7238f7,0,baseline,r002,61308e068d66d958f9caf2ff4cfad69baf9cfe3b4476d99b9f5a87b5465e0925,reference-chain,DDILR,"I
Explanation:
- DTRXC is initially referenced to DCFYR.
- DCFYR is then referenced to DEHCO.
- DE",False,SUCCEEDED,limit,147,32,30.987628065,IDENTITY,,True,3,1000,0,0,8
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,attempt-cc3ebd7fc6654be7a2ace9632c7238f7,0,baseline,r003,6895221b23db7fd0629474a54cae07948c1e0d442dd2ea82eb3f3f225debd387,reference-chain,DPCYN,DMDUF,False,SUCCEEDED,eos,147,4,13.115051722,IDENTITY,,True,3,1000,285,0,8
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,attempt-cc3ebd7fc6654be7a2ace9632c7238f7,0,baseline,r004,6a29b3bdf7bd41bf95d7b09759e926ee7c7c26c10943c1173387837bdcecf963,reference-chain,DWVOU,U,False,SUCCEEDED,eos,149,2,11.972956812,IDENTITY,,True,3,1000,0,0,8
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,attempt-cc3ebd7fc6654be7a2ace9632c7238f7,0,baseline,r005,07aa32c5dfbd2d104349636ddf94a60483b38b30f0d2b6966d8ad978168b3e39,reference-chain,DLYDZ,G,False,SUCCEEDED,eos,150,2,11.980846161,IDENTITY,,True,3,857,571,0,8
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,attempt-cc3ebd7fc6654be7a2ace9632c7238f7,0,baseline,r006,82edbf30823b7fba6326c501423c5ec690797a8eaf2531f4c03cbeb747224fbc,reference-chain,DYQHW,DITEI,False,SUCCEEDED,eos,154,4,13.628009365,IDENTITY,,True,3,571,142,0,8
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,attempt-cc3ebd7fc6654be7a2ace9632c7238f7,0,baseline,r007,63029a045acf02d2354caa102a9b4d3a96018d1d75d3be4cc4d5a7bfdd97ce27,reference-chain,DXEDM,DXEDM,True,SUCCEEDED,eos,147,4,13.064058485,IDENTITY,,True,3,1000,571,0,8
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,attempt-e1654646befe488b9c24685b6c55cda6,0,candidate,r000,44e7ac70e54a06118594fbc77190e25256b11d126b5bba268b938c2e7c3d4cde,reference-chain,DZQRB,B,False,SUCCEEDED,eos,108,2,8.771954891,CERTIFIED_SLICE,3,True,3,857,0,0,8
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,attempt-e1654646befe488b9c24685b6c55cda6,0,candidate,r001,9c6faad1cb81beb33a5a627a6ce76c4a484f08144f0cb5983508412206624539,reference-chain,DBFMU,B,False,SUCCEEDED,eos,103,2,8.453827045,CERTIFIED_SLICE,3,True,3,571,142,0,8
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,attempt-e1654646befe488b9c24685b6c55cda6,0,candidate,r002,61308e068d66d958f9caf2ff4cfad69baf9cfe3b4476d99b9f5a87b5465e0925,reference-chain,DDILR,R,False,SUCCEEDED,eos,109,2,8.934706844,CERTIFIED_SLICE,3,True,3,1000,0,0,8
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,attempt-e1654646befe488b9c24685b6c55cda6,0,candidate,r003,6895221b23db7fd0629474a54cae07948c1e0d442dd2ea82eb3f3f225debd387,reference-chain,DPCYN,DPCYN,True,SUCCEEDED,eos,109,4,10.312026502,CERTIFIED_SLICE,3,True,3,1000,285,0,8
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,attempt-e1654646befe488b9c24685b6c55cda6,0,candidate,r004,6a29b3bdf7bd41bf95d7b09759e926ee7c7c26c10943c1173387837bdcecf963,reference-chain,DWVOU,U,False,SUCCEEDED,eos,107,2,8.870167173,CERTIFIED_SLICE,3,True,3,1000,0,0,8
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,attempt-e1654646befe488b9c24685b6c55cda6,0,candidate,r005,07aa32c5dfbd2d104349636ddf94a60483b38b30f0d2b6966d8ad978168b3e39,reference-chain,DLYDZ,DLYDZ,True,SUCCEEDED,eos,108,5,10.976202661,CERTIFIED_SLICE,3,True,3,857,571,0,8
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,attempt-e1654646befe488b9c24685b6c55cda6,0,candidate,r006,82edbf30823b7fba6326c501423c5ec690797a8eaf2531f4c03cbeb747224fbc,reference-chain,DYQHW,H,False,SUCCEEDED,eos,113,2,9.25730593,CERTIFIED_SLICE,3,True,3,571,142,0,8
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,attempt-e1654646befe488b9c24685b6c55cda6,0,candidate,r007,63029a045acf02d2354caa102a9b4d3a96018d1d75d3be4cc4d5a7bfdd97ce27,reference-chain,DXEDM,J,False,SUCCEEDED,eos,107,2,8.803815199,CERTIFIED_SLICE,3,True,3,1000,571,0,8
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,attempt-08bf3387a127497eb05a8a0882bc4a60,0,baseline,r000,44e7ac70e54a06118594fbc77190e25256b11d126b5bba268b938c2e7c3d4cde,reference-chain,DZQRB,DBBRP,False,SUCCEEDED,eos,149,4,1.028567954,IDENTITY,,True,3,857,0,0,8
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,attempt-08bf3387a127497eb05a8a0882bc4a60,0,baseline,r001,9c6faad1cb81beb33a5a627a6ce76c4a484f08144f0cb5983508412206624539,reference-chain,DBFMU,DGGZZ,False,SUCCEEDED,eos,141,4,0.999690189,IDENTITY,,True,3,571,142,0,8
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,attempt-08bf3387a127497eb05a8a0882bc4a60,0,baseline,r002,61308e068d66d958f9caf2ff4cfad69baf9cfe3b4476d99b9f5a87b5465e0925,reference-chain,DDILR,DTRXC,False,SUCCEEDED,eos,147,4,1.010563738,IDENTITY,,True,3,1000,0,0,8
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,attempt-08bf3387a127497eb05a8a0882bc4a60,0,baseline,r003,6895221b23db7fd0629474a54cae07948c1e0d442dd2ea82eb3f3f225debd387,reference-chain,DPCYN,DUXQO,False,SUCCEEDED,eos,147,5,1.020866666,IDENTITY,,True,3,1000,285,0,8
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,attempt-08bf3387a127497eb05a8a0882bc4a60,0,baseline,r004,6a29b3bdf7bd41bf95d7b09759e926ee7c7c26c10943c1173387837bdcecf963,reference-chain,DWVOU,DGGGY,False,SUCCEEDED,eos,149,4,1.021898145,IDENTITY,,True,3,1000,0,0,8
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,attempt-08bf3387a127497eb05a8a0882bc4a60,0,baseline,r005,07aa32c5dfbd2d104349636ddf94a60483b38b30f0d2b6966d8ad978168b3e39,reference-chain,DLYDZ,DLYDZ,True,SUCCEEDED,eos,150,5,1.041801504,IDENTITY,,True,3,857,571,0,8
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,attempt-08bf3387a127497eb05a8a0882bc4a60,0,baseline,r006,82edbf30823b7fba6326c501423c5ec690797a8eaf2531f4c03cbeb747224fbc,reference-chain,DYQHW,DZQZI,False,SUCCEEDED,eos,154,6,1.07845203,IDENTITY,,True,3,571,142,0,8
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,attempt-08bf3387a127497eb05a8a0882bc4a60,0,baseline,r007,63029a045acf02d2354caa102a9b4d3a96018d1d75d3be4cc4d5a7bfdd97ce27,reference-chain,DXEDM,DUFNX,False,SUCCEEDED,eos,147,4,1.00992473,IDENTITY,,True,3,1000,571,0,8
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,attempt-3646b50a4e7f416295b4b8ef93b20ac8,0,candidate,r000,44e7ac70e54a06118594fbc77190e25256b11d126b5bba268b938c2e7c3d4cde,reference-chain,DZQRB,VALUE DCQQB DZQRB,False,SUCCEEDED,eos,209,9,1.505688856,EXPLICIT_GRAMMAR_RESTATEMENT,8,True,3,857,0,0,8
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,attempt-3646b50a4e7f416295b4b8ef93b20ac8,0,candidate,r001,9c6faad1cb81beb33a5a627a6ce76c4a484f08144f0cb5983508412206624539,reference-chain,DBFMU,DTSBO,False,SUCCEEDED,eos,201,4,1.533454743,EXPLICIT_GRAMMAR_RESTATEMENT,8,True,3,571,142,0,8
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,attempt-3646b50a4e7f416295b4b8ef93b20ac8,0,candidate,r002,61308e068d66d958f9caf2ff4cfad69baf9cfe3b4476d99b9f5a87b5465e0925,reference-chain,DDILR,DFJCC,False,SUCCEEDED,eos,207,4,1.354753682,EXPLICIT_GRAMMAR_RESTATEMENT,8,True,3,1000,0,0,8
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,attempt-3646b50a4e7f416295b4b8ef93b20ac8,0,candidate,r003,6895221b23db7fd0629474a54cae07948c1e0d442dd2ea82eb3f3f225debd387,reference-chain,DPCYN,VALUE DUXQO DDRLY,False,SUCCEEDED,eos,207,9,1.497451711,EXPLICIT_GRAMMAR_RESTATEMENT,8,True,3,1000,285,0,8
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,attempt-3646b50a4e7f416295b4b8ef93b20ac8,0,candidate,r004,6a29b3bdf7bd41bf95d7b09759e926ee7c7c26c10943c1173387837bdcecf963,reference-chain,DWVOU,DZFVY,False,SUCCEEDED,eos,209,5,1.448696375,EXPLICIT_GRAMMAR_RESTATEMENT,8,True,3,1000,0,0,8
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,attempt-3646b50a4e7f416295b4b8ef93b20ac8,0,candidate,r005,07aa32c5dfbd2d104349636ddf94a60483b38b30f0d2b6966d8ad978168b3e39,reference-chain,DLYDZ,VALUE DXTUX,False,SUCCEEDED,eos,210,5,1.39587718,EXPLICIT_GRAMMAR_RESTATEMENT,8,True,3,857,571,0,8
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,attempt-3646b50a4e7f416295b4b8ef93b20ac8,0,candidate,r006,82edbf30823b7fba6326c501423c5ec690797a8eaf2531f4c03cbeb747224fbc,reference-chain,DYQHW,VALUE DZQZI DOEEQ,False,SUCCEEDED,eos,214,10,1.528256843,EXPLICIT_GRAMMAR_RESTATEMENT,8,True,3,571,142,0,8
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,attempt-3646b50a4e7f416295b4b8ef93b20ac8,0,candidate,r007,63029a045acf02d2354caa102a9b4d3a96018d1d75d3be4cc4d5a7bfdd97ce27,reference-chain,DXEDM,VALUE DGCJK,False,SUCCEEDED,eos,207,5,1.346940376,EXPLICIT_GRAMMAR_RESTATEMENT,8,True,3,1000,571,0,8
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,attempt-d06d629c537749539419e33e8fb89e5e,1,candidate,r000,44e7ac70e54a06118594fbc77190e25256b11d126b5bba268b938c2e7c3d4cde,reference-chain,DZQRB,VALUE DCQQB DZQRB,False,SUCCEEDED,eos,209,9,1.475347177,EXPLICIT_GRAMMAR_RESTATEMENT,8,True,3,857,0,0,8
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,attempt-d06d629c537749539419e33e8fb89e5e,1,candidate,r001,9c6faad1cb81beb33a5a627a6ce76c4a484f08144f0cb5983508412206624539,reference-chain,DBFMU,DTSBO,False,SUCCEEDED,eos,201,4,1.301562302,EXPLICIT_GRAMMAR_RESTATEMENT,8,True,3,571,142,0,8
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,attempt-d06d629c537749539419e33e8fb89e5e,1,candidate,r002,61308e068d66d958f9caf2ff4cfad69baf9cfe3b4476d99b9f5a87b5465e0925,reference-chain,DDILR,DFJCC,False,SUCCEEDED,eos,207,4,1.338225402,EXPLICIT_GRAMMAR_RESTATEMENT,8,True,3,1000,0,0,8
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,attempt-d06d629c537749539419e33e8fb89e5e,1,candidate,r003,6895221b23db7fd0629474a54cae07948c1e0d442dd2ea82eb3f3f225debd387,reference-chain,DPCYN,VALUE DUXQO DDRLY,False,SUCCEEDED,eos,207,9,1.47308541,EXPLICIT_GRAMMAR_RESTATEMENT,8,True,3,1000,285,0,8
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,attempt-d06d629c537749539419e33e8fb89e5e,1,candidate,r004,6a29b3bdf7bd41bf95d7b09759e926ee7c7c26c10943c1173387837bdcecf963,reference-chain,DWVOU,DZFVY,False,SUCCEEDED,eos,209,5,1.370213223,EXPLICIT_GRAMMAR_RESTATEMENT,8,True,3,1000,0,0,8
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,attempt-d06d629c537749539419e33e8fb89e5e,1,candidate,r005,07aa32c5dfbd2d104349636ddf94a60483b38b30f0d2b6966d8ad978168b3e39,reference-chain,DLYDZ,VALUE DXTUX,False,SUCCEEDED,eos,210,5,1.376162581,EXPLICIT_GRAMMAR_RESTATEMENT,8,True,3,857,571,0,8
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,attempt-d06d629c537749539419e33e8fb89e5e,1,candidate,r006,82edbf30823b7fba6326c501423c5ec690797a8eaf2531f4c03cbeb747224fbc,reference-chain,DYQHW,VALUE DZQZI DOEEQ,False,SUCCEEDED,eos,214,10,1.53486695,EXPLICIT_GRAMMAR_RESTATEMENT,8,True,3,571,142,0,8
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,attempt-d06d629c537749539419e33e8fb89e5e,1,candidate,r007,63029a045acf02d2354caa102a9b4d3a96018d1d75d3be4cc4d5a7bfdd97ce27,reference-chain,DXEDM,VALUE DGCJK,False,SUCCEEDED,eos,207,5,1.372615312,EXPLICIT_GRAMMAR_RESTATEMENT,8,True,3,1000,571,0,8
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,attempt-e76b70a0126a44b8a024f61f464a32f4,1,baseline,r000,44e7ac70e54a06118594fbc77190e25256b11d126b5bba268b938c2e7c3d4cde,reference-chain,DZQRB,DBBRP,False,SUCCEEDED,eos,149,4,0.979901072,IDENTITY,,True,3,857,0,0,8
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,attempt-e76b70a0126a44b8a024f61f464a32f4,1,baseline,r001,9c6faad1cb81beb33a5a627a6ce76c4a484f08144f0cb5983508412206624539,reference-chain,DBFMU,DGGZZ,False,SUCCEEDED,eos,141,4,0.931318037,IDENTITY,,True,3,571,142,0,8
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,attempt-e76b70a0126a44b8a024f61f464a32f4,1,baseline,r002,61308e068d66d958f9caf2ff4cfad69baf9cfe3b4476d99b9f5a87b5465e0925,reference-chain,DDILR,DTRXC,False,SUCCEEDED,eos,147,4,0.970169828,IDENTITY,,True,3,1000,0,0,8
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,attempt-e76b70a0126a44b8a024f61f464a32f4,1,baseline,r003,6895221b23db7fd0629474a54cae07948c1e0d442dd2ea82eb3f3f225debd387,reference-chain,DPCYN,DUXQO,False,SUCCEEDED,eos,147,5,1.005492344,IDENTITY,,True,3,1000,285,0,8
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,attempt-e76b70a0126a44b8a024f61f464a32f4,1,baseline,r004,6a29b3bdf7bd41bf95d7b09759e926ee7c7c26c10943c1173387837bdcecf963,reference-chain,DWVOU,DGGGY,False,SUCCEEDED,eos,149,4,0.997785876,IDENTITY,,True,3,1000,0,0,8
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,attempt-e76b70a0126a44b8a024f61f464a32f4,1,baseline,r005,07aa32c5dfbd2d104349636ddf94a60483b38b30f0d2b6966d8ad978168b3e39,reference-chain,DLYDZ,DLYDZ,True,SUCCEEDED,eos,150,5,1.028202043,IDENTITY,,True,3,857,571,0,8
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,attempt-e76b70a0126a44b8a024f61f464a32f4,1,baseline,r006,82edbf30823b7fba6326c501423c5ec690797a8eaf2531f4c03cbeb747224fbc,reference-chain,DYQHW,DZQZI,False,SUCCEEDED,eos,154,6,1.055358015,IDENTITY,,True,3,571,142,0,8
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,attempt-e76b70a0126a44b8a024f61f464a32f4,1,baseline,r007,63029a045acf02d2354caa102a9b4d3a96018d1d75d3be4cc4d5a7bfdd97ce27,reference-chain,DXEDM,DUFNX,False,SUCCEEDED,eos,147,4,0.966758412,IDENTITY,,True,3,1000,571,0,8
negative-fit-study04,DEVELOPMENT,dependency-slice-v1,attempt-22e527c470fb490290ad3aaf0f698a98,1,candidate,r000,e9238a9cf5b1ec323312569bd4222da7e963a297f0f48e85692539026ee9b054,record-lookup,DMISF,DNTBH,False,SUCCEEDED,eos,92,4,0.655386909,CERTIFIED_SLICE,1,True,1,173,173,0,24
negative-fit-study04,DEVELOPMENT,dependency-slice-v1,attempt-22e527c470fb490290ad3aaf0f698a98,1,candidate,r001,962323f1184c2e385a83de0d9c40ff9b6c27faf0b22909ecb584618933e2e60f,reference-chain,DANXL,DJNJS,False,SUCCEEDED,eos,114,4,0.765999079,CERTIFIED_SLICE,4,True,4,608,86,0,24
negative-fit-study04,DEVELOPMENT,dependency-slice-v1,attempt-22e527c470fb490290ad3aaf0f698a98,1,candidate,r002,6d16a81c901843443740bafd1259fc70087508643ce3bbb2eb1da1e5a77139df,record-updates,DMEAA,DMEAA,True,SUCCEEDED,eos,110,4,0.749708486,CERTIFIED_SLICE,3,True,3,826,521,3,24
negative-fit-study04,DEVELOPMENT,dependency-slice-v1,attempt-22e527c470fb490290ad3aaf0f698a98,1,candidate,r003,e7acf4b51708b76dcbea7e1ca187de50de35a0b0d4751620729e49b357b9a854,record-lookup,DGCPX,VALUE DYVUZ,False,SUCCEEDED,eos,94,6,0.7105996,CERTIFIED_SLICE,1,True,1,826,826,0,24
negative-fit-study04,DEVELOPMENT,dependency-slice-v1,attempt-22e527c470fb490290ad3aaf0f698a98,1,candidate,r004,1663d73ba590dabaf4ffa69504fdd75626a09a67b50050a446cd751083badd57,reference-chain,DORWX,DCKXI,False,SUCCEEDED,eos,113,4,0.759195056,CERTIFIED_SLICE,4,True,4,1000,0,0,24
negative-fit-study04,DEVELOPMENT,dependency-slice-v1,attempt-22e527c470fb490290ad3aaf0f698a98,1,candidate,r005,0ce6aff9598923fe426e24bc03e35ff34673e2d1bfdce32d5c52f64139087076,record-updates,DWBYQ,VALUE DSAWB,False,SUCCEEDED,eos,108,5,0.755229894,CERTIFIED_SLICE,3,True,3,1000,869,3,24
negative-fit-study04,DEVELOPMENT,dependency-slice-v1,attempt-22e527c470fb490290ad3aaf0f698a98,1,candidate,r006,19e340c6f1c6da9a91fa52a6266d40b7cc57c38f477c95fbd69936bb90d70841,record-lookup,DRVYP,VALUE DHVPE,False,SUCCEEDED,eos,91,5,0.654022613,CERTIFIED_SLICE,1,True,1,391,391,0,24
negative-fit-study04,DEVELOPMENT,dependency-slice-v1,attempt-22e527c470fb490290ad3aaf0f698a98,1,candidate,r007,6ef8f48cd7830a58d79db8327a3763709ae43d59fb22ea1f94e300ae1247a725,reference-chain,DDERW,DCNUP,False,SUCCEEDED,eos,115,4,0.777020554,CERTIFIED_SLICE,4,True,4,956,130,0,24
negative-fit-study04,DEVELOPMENT,dependency-slice-v1,attempt-22e527c470fb490290ad3aaf0f698a98,1,candidate,r008,f8de647638e50be8573f55273f2c77f2be9b4a7e1f8b8cf53b697efa434d793d,record-updates,DGMZQ,DDNHG,False,SUCCEEDED,eos,109,4,0.740941373,CERTIFIED_SLICE,3,True,3,913,782,3,24
negative-fit-study04,DEVELOPMENT,dependency-slice-v1,attempt-22e527c470fb490290ad3aaf0f698a98,1,candidate,r009,b33a20fe0442c7c7aa2c4a11017edb9fdd9f77b8222063b3f1d23a798bdde215,record-lookup,DIRDF,DIRDF,True,SUCCEEDED,eos,93,3,0.621572279,CERTIFIED_SLICE,1,True,1,217,217,0,24
negative-fit-study04,DEVELOPMENT,dependency-slice-v1,attempt-22e527c470fb490290ad3aaf0f698a98,1,candidate,r010,602c5306bc89f965e2ebadd70862ffd7337032827a96acf63988574d2eb06923,reference-chain,DQKOC,DXGBO,False,SUCCEEDED,eos,116,4,0.776965161,CERTIFIED_SLICE,4,True,4,1000,173,0,24
negative-fit-study04,DEVELOPMENT,dependency-slice-v1,attempt-22e527c470fb490290ad3aaf0f698a98,1,candidate,r011,420fa7ea0e4ada21134992ad26464857f53ce42fcaedd4851f9d33e0a7763c16,record-updates,DLEHV,DLEHV,True,SUCCEEDED,eos,110,4,0.744704801,CERTIFIED_SLICE,3,True,3,695,391,3,24
